img_data,img_link,link,name,num_ratings,price,stars
https://images-na.ssl-images-amazon.com/images/I/51AcRv9z8pL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51AcRv9z8pL._AC_US160_.jpg,https://www.amazon.com/Animals-Squirters-Stacking-Watering-Organizer/dp/B07F28R56G,"9 PCs Baby Bath Toys with Ocean Animals Bath Squirters Toys, Stacking Cups, Water Blaster Toys, Watering Can, Fishing Net and Bath Toy Organizer Birthday Gift for Kids",19.0,23.95,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/411N8Su+HDL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/411N8Su+HDL._AC_US160_.jpg,https://www.amazon.com/Little-Tikes-Tap-Tune-Drum/dp/B01LZPV70D,Little Tikes Tap-A-Tune Drum Baby Toy,99.0,12.99,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/512QHOKOTwL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/512QHOKOTwL._AC_US160_.jpg,https://www.amazon.com/Squishies-Cat-Squishy-Toys-Kids/dp/B07H3D7WQF,Squishies Cat Squishy Toys for Kids - Newest - Jumbo Squishies Slow Rising - Animal Squishys Stress Relief Toys - Super Soft and Slow - Kawaii Squishies - Fruit Scented Toy - Party Favors for Kids,48.0,6.95,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51jMfpblmTL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51jMfpblmTL._AC_US160_.jpg,https://www.amazon.com/Little-Tikes-Sports-Zone-Infant/dp/B072N6LRSC,"Little Tikes 3-in-1 Sports Zone Baby Toy, Infant Toy",89.0,45.29,4.1 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51FFQzsXGSL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51FFQzsXGSL._AC_US160_.jpg,https://www.amazon.com/Taggies-Heather-Hedgehog-Baby-Rattle-x/dp/B078T4ZQT7,Taggies Heather Hedgehog Baby Rattle,18.0,10.0,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51jXx+64AGL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51jXx+64AGL._AC_US160_.jpg,https://www.amazon.com/Skip-Hop-Bathtime-Basketball-Multi/dp/B06XFWNPBM,"Skip Hop Zoo Bathtime Basketball, Dog, Multi",61.0,9.99,4.1 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51hcF8oOtFL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51hcF8oOtFL._AC_US160_.jpg,https://www.amazon.com/Identity-Games-Elmos-World-Hide/dp/B0721L28N9,Identity Games Elmo's World Hide and Seek Game - Features Talking Elmo from Sesame Street,39.0,15.83,4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41P+zKtM2yL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41P+zKtM2yL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Thomas-Friends-MINIS-Batcave/dp/B01ASVDMPU,"Fisher-Price Thomas & Friends MINIS, DC Super Friends Batcave",179.0,22.38,3.9 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41R0skDpAhL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41R0skDpAhL._AC_US160_.jpg,https://www.amazon.com/Peppa-Pig-92637-School-Bus/dp/B018462LK8,Peppa Pig School Bus,215.0,29.93,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/31dNdqsgAkL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/31dNdqsgAkL._AC_US160_.jpg,https://www.amazon.com/Safety-1st-featuring-Mombella-Elephant/dp/B014655F4K,"Safety 1st featuring Mombella Ellie Elephant Teether, Yellow, Small",1194.0,15.95,4.8 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51rYRH0vBdL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51rYRH0vBdL._AC_US160_.jpg,https://www.amazon.com/Lewo-Wooden-Toddler-Circle-First/dp/B01HJFAGJI,Lewo Wooden Baby Toddler Toys Circle First Bead Maze for Boys Girls,156.0,16.14,3.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41VgojhyaZL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VgojhyaZL._AC_US160_.jpg,https://www.amazon.com/Melissa-Doug-Match-Shape-Sorter/dp/B00VKMAMUA,Melissa & Doug Match and Roll Shape Sorter - Classic Wooden Toy,132.0,13.99,4.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51AG57-95gL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51AG57-95gL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Little-People-Camping-Playset/dp/B01ASVCVZW,Fisher-Price Little People Going Camping Playset,230.0,19.99,4.8 out of 5 stars
